
======================================================================
Experiment: 307_dnn_lr_0_001_scheduler_plateau
======================================================================

======================================================================
Cross Validation
======================================================================

Fold 1/5
Fold 3 | 045/200 | loss: 0.3748/0.3342 | acc: 0.8526/0.8592 | lr: 0.00050000 *
Fold 3 | 046/200 | loss: 0.3684/0.3329 | acc: 0.8474/0.8592 | lr: 0.00050000 *
Fold 3 | 047/200 | loss: 0.3748/0.3337 | acc: 0.8509/0.8592 | lr: 0.00050000 
Fold 3 | 048/200 | loss: 0.3730/0.3352 | acc: 0.8404/0.8592 | lr: 0.00050000 
Fold 3 | 049/200 | loss: 0.3696/0.3341 | acc: 0.8439/0.8592 | lr: 0.00050000 
Fold 3 | 050/200 | loss: 0.3879/0.3344 | acc: 0.8456/0.8592 | lr: 0.00050000 
Fold 3 | 051/200 | loss: 0.3749/0.3329 | acc: 0.8544/0.8592 | lr: 0.00050000 
Fold 3 | 052/200 | loss: 0.3627/0.3338 | acc: 0.8596/0.8592 | lr: 0.00050000 
Fold 3 | 053/200 | loss: 0.3695/0.3335 | acc: 0.8544/0.8592 | lr: 0.00025000 
Fold 3 | 054/200 | loss: 0.3646/0.3333 | acc: 0.8509/0.8521 | lr: 0.00025000 
Fold 3 | 055/200 | loss: 0.3713/0.3333 | acc: 0.8509/0.8521 | lr: 0.00025000 
Fold 3 | 056/200 | loss: 0.3709/0.3331 | acc: 0.8544/0.8592 | lr: 0.00025000 
Fold 3 | 057/200 | loss: 0.3715/0.3336 | acc: 0.8579/0.8592 | lr: 0.00025000 
Fold 3 | 058/200 | loss: 0.3812/0.3346 | acc: 0.8544/0.8521 | lr: 0.00025000 
Fold 3 | 059/200 | loss: 0.3705/0.3343 | acc: 0.8491/0.8521 | lr: 0.00012500 
Fold 3 | 060/200 | loss: 0.3789/0.3340 | acc: 0.8439/0.8521 | lr: 0.00012500 
Fold 3 | 061/200 | loss: 0.3589/0.3338 | acc: 0.8509/0.8592 | lr: 0.00012500 
Fold 3 | Early stopping on epoch 61
Fold 3 | 046/200 | loss: 0.3684/0.3329 | acc: 0.8474/0.8592 | lr: 0.00050000
Fold 3 | Best epoch: 46 | Best validation loss: 0.3329
Fold 3 | Accuracy: 0.8592 | Best epoch: 46 | Best loss: 0.3329

Fold 5/5
Fold 4 | 001/200 | loss: 0.7072/0.6899 | acc: 0.4123/0.5070 | lr: 0.00100000 *
Fold 4 | 002/200 | loss: 0.6727/0.6546 | acc: 0.6684/0.7183 | lr: 0.00100000 *
Fold 4 | 003/200 | loss: 0.6294/0.6094 | acc: 0.7246/0.7324 | lr: 0.00100000 *
Fold 4 | 004/200 | loss: 0.5786/0.5638 | acc: 0.7298/0.7254 | lr: 0.00100000 *
Fold 4 | 005/200 | loss: 0.5258/0.5288 | acc: 0.7632/0.7324 | lr: 0.00100000 *
Fold 4 | 006/200 | loss: 0.4912/0.5077 | acc: 0.7912/0.7535 | lr: 0.00100000 *
Fold 4 | 007/200 | loss: 0.4450/0.4947 | acc: 0.8333/0.7535 | lr: 0.00100000 *
Fold 4 | 008/200 | loss: 0.4349/0.4911 | acc: 0.8193/0.7676 | lr: 0.00100000 *
Fold 4 | 009/200 | loss: 0.4207/0.4848 | acc: 0.8333/0.7817 | lr: 0.00100000 *
Fold 4 | 010/200 | loss: 0.4140/0.4789 | acc: 0.8351/0.7817 | lr: 0.00100000 *
Fold 4 | 011/200 | loss: 0.4220/0.4752 | acc: 0.8333/0.7817 | lr: 0.00100000 *
Fold 4 | 012/200 | loss: 0.3909/0.4755 | acc: 0.8351/0.7817 | lr: 0.00100000 
Fold 4 | 013/200 | loss: 0.3915/0.4777 | acc: 0.8404/0.7817 | lr: 0.00100000 
Fold 4 | 014/200 | loss: 0.4016/0.4754 | acc: 0.8439/0.7817 | lr: 0.00100000 
Fold 4 | 015/200 | loss: 0.3825/0.4749 | acc: 0.8456/0.7887 | lr: 0.00100000 *
Fold 4 | 016/200 | loss: 0.3914/0.4771 | acc: 0.8439/0.7887 | lr: 0.00100000 
Fold 4 | 017/200 | loss: 0.3821/0.4756 | acc: 0.8404/0.7887 | lr: 0.00100000 
Fold 4 | 018/200 | loss: 0.3770/0.4758 | acc: 0.8421/0.7887 | lr: 0.00100000 
Fold 4 | 019/200 | loss: 0.3659/0.4806 | acc: 0.8404/0.7958 | lr: 0.00100000 
Fold 4 | 020/200 | loss: 0.3738/0.4785 | acc: 0.8561/0.7887 | lr: 0.00100000 
Fold 4 | 021/200 | loss: 0.3684/0.4785 | acc: 0.8544/0.7887 | lr: 0.00100000 
Fold 4 | 022/200 | loss: 0.3675/0.4791 | acc: 0.8614/0.7887 | lr: 0.00050000 
Fold 4 | 023/200 | loss: 0.3689/0.4779 | acc: 0.8649/0.8099 | lr: 0.00050000 
Fold 4 | 024/200 | loss: 0.3764/0.4775 | acc: 0.8474/0.8169 | lr: 0.00050000 
Fold 4 | 025/200 | loss: 0.3678/0.4778 | acc: 0.8509/0.8099 | lr: 0.00050000 
Fold 4 | 026/200 | loss: 0.3546/0.4803 | acc: 0.8579/0.8099 | lr: 0.00050000 
Fold 4 | 027/200 | loss: 0.3470/0.4828 | acc: 0.8702/0.7958 | lr: 0.00050000 
Fold 4 | 028/200 | loss: 0.3595/0.4828 | acc: 0.8596/0.8169 | lr: 0.00025000 
Fold 4 | 029/200 | loss: 0.3620/0.4833 | acc: 0.8614/0.8169 | lr: 0.00025000 
Fold 4 | 030/200 | loss: 0.3561/0.4831 | acc: 0.8544/0.8169 | lr: 0.00025000 
Fold 4 | Early stopping on epoch 30
Fold 4 | 015/200 | loss: 0.3825/0.4749 | acc: 0.8456/0.7887 | lr: 0.00100000
Fold 4 | Best epoch: 15 | Best validation loss: 0.4749
Fold 4 | Accuracy: 0.7887 | Best epoch: 15 | Best loss: 0.4749
PyTorch training plots saved: outputs\torch_plots\307_dnn_lr_0_001_scheduler_plateau.png

======================================================================
Model Information
======================================================================
Active model: dnn
DNN(
  (mlp): Sequential(
    (0): Linear(in_features=26, out_features=32, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): Linear(in_features=32, out_features=32, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.2, inplace=False)
    (6): Linear(in_features=32, out_features=1, bias=True)
  )
)

Mean CV Accuracy: 0.8329
CV STD: 0.0246
OOF Accuracy: 0.8329
OOF Precision: 0.8105
OOF Recall: 0.7363
OOF F1: 0.7716
OOF ROC-AUC: 0.8687
OOF PR-AUC: 0.8493
OOF Logloss: 0.4034
OOF Brier: 0.1243
OOF Confusion Matrix: TN=392, FP=47, FN=72, TP=201
OOF predictions saved: outputs\oof\307_dnn_lr_0_001_scheduler_plateau.csv
OOF errors saved: outputs\oof\307_dnn_lr_0_001_scheduler_plateau_errors.csv
Best epochs: [29, 14, 19, 46, 15]
Median best epoch: 19
Number of prediction models: 5

======================================================================
Holdout Evaluation
======================================================================
Holdout Accuracy: 0.8547
Holdout Precision: 0.8772
Holdout Recall: 0.7246
Holdout F1: 0.7937
Holdout ROC-AUC: 0.8911
Holdout PR-AUC: 0.8653
Holdout Logloss: 0.3991
Holdout Brier: 0.1203
Holdout Confusion Matrix: TN=103, FP=7, FN=19, TP=50

======================================================================
Kaggle Submission
======================================================================
Number of prediction models: 5
Mean predicted survival probability: 0.3944

Submission file saved successfully.
