
======================================================================
Experiment: 308_dnn_64_32_16_lr_0_001_plateau
======================================================================

======================================================================
Cross Validation
======================================================================

Fold 1/5
Fold 2 | 032/200 | loss: 0.3970/0.4240 | acc: 0.8439/0.8592 | lr: 0.00030000 *
Fold 2 | 033/200 | loss: 0.4015/0.4238 | acc: 0.8439/0.8592 | lr: 0.00030000 *
Fold 2 | 034/200 | loss: 0.4004/0.4222 | acc: 0.8281/0.8592 | lr: 0.00030000 *
Fold 2 | 035/200 | loss: 0.3884/0.4245 | acc: 0.8526/0.8592 | lr: 0.00030000 
Fold 2 | 036/200 | loss: 0.3903/0.4268 | acc: 0.8439/0.8521 | lr: 0.00030000 
Fold 2 | 037/200 | loss: 0.3839/0.4247 | acc: 0.8509/0.8521 | lr: 0.00030000 
Fold 2 | 038/200 | loss: 0.3960/0.4248 | acc: 0.8474/0.8380 | lr: 0.00030000 
Fold 2 | 039/200 | loss: 0.3935/0.4265 | acc: 0.8368/0.8521 | lr: 0.00030000 
Fold 2 | 040/200 | loss: 0.3809/0.4250 | acc: 0.8421/0.8521 | lr: 0.00015000 
Fold 2 | 041/200 | loss: 0.3829/0.4240 | acc: 0.8474/0.8521 | lr: 0.00015000 
Fold 2 | 042/200 | loss: 0.3787/0.4245 | acc: 0.8474/0.8521 | lr: 0.00015000 
Fold 2 | 043/200 | loss: 0.3966/0.4247 | acc: 0.8386/0.8521 | lr: 0.00015000 
Fold 2 | 044/200 | loss: 0.3846/0.4248 | acc: 0.8474/0.8451 | lr: 0.00015000 
Fold 2 | 045/200 | loss: 0.3811/0.4248 | acc: 0.8474/0.8451 | lr: 0.00007500 
Fold 2 | 046/200 | loss: 0.3941/0.4249 | acc: 0.8474/0.8451 | lr: 0.00007500 
Fold 2 | 047/200 | loss: 0.3831/0.4244 | acc: 0.8456/0.8451 | lr: 0.00007500 
Fold 2 | 048/200 | loss: 0.3914/0.4248 | acc: 0.8474/0.8521 | lr: 0.00007500 
Fold 2 | 049/200 | loss: 0.3870/0.4246 | acc: 0.8509/0.8521 | lr: 0.00007500 
Fold 2 | Early stopping on epoch 49
Fold 2 | 034/200 | loss: 0.4004/0.4222 | acc: 0.8281/0.8592 | lr: 0.00030000
Fold 2 | Best epoch: 34 | Best validation loss: 0.4222
Fold 2 | Accuracy: 0.8592 | Best epoch: 34 | Best loss: 0.4222

Fold 4/5
Fold 3 | 001/200 | loss: 0.6843/0.6814 | acc: 0.6158/0.6197 | lr: 0.00030000 *
Fold 3 | 002/200 | loss: 0.6813/0.6787 | acc: 0.6158/0.6197 | lr: 0.00030000 *
Fold 3 | 003/200 | loss: 0.6773/0.6758 | acc: 0.6158/0.6197 | lr: 0.00030000 *
Fold 3 | 004/200 | loss: 0.6750/0.6720 | acc: 0.6175/0.6197 | lr: 0.00030000 *
Fold 3 | 005/200 | loss: 0.6708/0.6673 | acc: 0.6158/0.6197 | lr: 0.00030000 *
Fold 3 | 006/200 | loss: 0.6648/0.6598 | acc: 0.6175/0.6197 | lr: 0.00030000 *
Fold 3 | 007/200 | loss: 0.6567/0.6490 | acc: 0.6316/0.6338 | lr: 0.00030000 *
Fold 3 | 008/200 | loss: 0.6452/0.6337 | acc: 0.6456/0.6761 | lr: 0.00030000 *
Fold 3 | 009/200 | loss: 0.6306/0.6124 | acc: 0.6614/0.6901 | lr: 0.00030000 *
Fold 3 | 010/200 | loss: 0.6085/0.5862 | acc: 0.6947/0.6901 | lr: 0.00030000 *
Fold 3 | 011/200 | loss: 0.5845/0.5538 | acc: 0.7298/0.7183 | lr: 0.00030000 *
Fold 3 | 012/200 | loss: 0.5602/0.5208 | acc: 0.7456/0.7606 | lr: 0.00030000 *
Fold 3 | 013/200 | loss: 0.5324/0.4866 | acc: 0.7772/0.8099 | lr: 0.00030000 *
Fold 3 | 014/200 | loss: 0.5041/0.4593 | acc: 0.7860/0.8310 | lr: 0.00030000 *
Fold 3 | 015/200 | loss: 0.4847/0.4392 | acc: 0.7930/0.8169 | lr: 0.00030000 *
Fold 3 | 016/200 | loss: 0.4766/0.4225 | acc: 0.8070/0.8099 | lr: 0.00030000 *
Fold 3 | 017/200 | loss: 0.4458/0.4094 | acc: 0.8140/0.8169 | lr: 0.00030000 *
Fold 3 | 018/200 | loss: 0.4585/0.4037 | acc: 0.8211/0.8169 | lr: 0.00030000 *
Fold 3 | 019/200 | loss: 0.4537/0.3955 | acc: 0.8175/0.8169 | lr: 0.00030000 *
Fold 3 | 020/200 | loss: 0.4526/0.3912 | acc: 0.8263/0.8169 | lr: 0.00030000 *
Fold 3 | 021/200 | loss: 0.4342/0.3868 | acc: 0.8281/0.8239 | lr: 0.00030000 *
