
======================================================================
Experiment: 309_dnn_64_32_16_lr_0_001
======================================================================

======================================================================
Cross Validation
======================================================================

Fold 1/5
Fold 3 | 069/200 | loss: 0.3503/0.3191 | acc: 0.8614/0.8732 | lr: 0.00100000 
Fold 3 | 070/200 | loss: 0.3478/0.3260 | acc: 0.8614/0.8592 | lr: 0.00100000 
Fold 3 | 071/200 | loss: 0.3466/0.3190 | acc: 0.8684/0.8732 | lr: 0.00100000 
Fold 3 | Early stopping on epoch 71
Fold 3 | 056/200 | loss: 0.3651/0.3159 | acc: 0.8649/0.8732 | lr: 0.00100000
Fold 3 | Best epoch: 56 | Best validation loss: 0.3159
Fold 3 | Accuracy: 0.8732 | Best epoch: 56 | Best loss: 0.3159

Fold 5/5
Fold 4 | 001/200 | loss: 0.6813/0.6758 | acc: 0.6158/0.6197 | lr: 0.00100000 *
Fold 4 | 002/200 | loss: 0.6705/0.6641 | acc: 0.6193/0.6197 | lr: 0.00100000 *
Fold 4 | 003/200 | loss: 0.6489/0.6336 | acc: 0.6333/0.6197 | lr: 0.00100000 *
Fold 4 | 004/200 | loss: 0.5985/0.5722 | acc: 0.6895/0.7394 | lr: 0.00100000 *
Fold 4 | 005/200 | loss: 0.5205/0.5157 | acc: 0.7667/0.7676 | lr: 0.00100000 *
Fold 4 | 006/200 | loss: 0.4456/0.4954 | acc: 0.8193/0.7746 | lr: 0.00100000 *
Fold 4 | 007/200 | loss: 0.4321/0.4840 | acc: 0.8298/0.7746 | lr: 0.00100000 *
Fold 4 | 008/200 | loss: 0.4084/0.4844 | acc: 0.8368/0.7817 | lr: 0.00100000 
Fold 4 | 009/200 | loss: 0.4078/0.4776 | acc: 0.8439/0.7958 | lr: 0.00100000 *
Fold 4 | 010/200 | loss: 0.3966/0.4789 | acc: 0.8474/0.7817 | lr: 0.00100000 
Fold 4 | 011/200 | loss: 0.3939/0.4750 | acc: 0.8614/0.7958 | lr: 0.00100000 *
Fold 4 | 012/200 | loss: 0.3904/0.4801 | acc: 0.8614/0.7958 | lr: 0.00100000 
Fold 4 | 013/200 | loss: 0.3753/0.4851 | acc: 0.8579/0.7958 | lr: 0.00100000 
Fold 4 | 014/200 | loss: 0.3845/0.4852 | acc: 0.8491/0.7817 | lr: 0.00100000 
Fold 4 | 015/200 | loss: 0.3835/0.4801 | acc: 0.8614/0.8028 | lr: 0.00100000 
Fold 4 | 016/200 | loss: 0.3693/0.4928 | acc: 0.8491/0.8028 | lr: 0.00100000 
Fold 4 | 017/200 | loss: 0.3828/0.4808 | acc: 0.8544/0.8099 | lr: 0.00100000 
Fold 4 | 018/200 | loss: 0.3672/0.4990 | acc: 0.8684/0.8028 | lr: 0.00100000 
Fold 4 | 019/200 | loss: 0.3597/0.5062 | acc: 0.8649/0.7817 | lr: 0.00100000 
Fold 4 | 020/200 | loss: 0.3566/0.5022 | acc: 0.8596/0.7887 | lr: 0.00100000 
Fold 4 | 021/200 | loss: 0.3622/0.5045 | acc: 0.8684/0.8028 | lr: 0.00100000 
Fold 4 | 022/200 | loss: 0.3710/0.4999 | acc: 0.8596/0.7958 | lr: 0.00100000 
Fold 4 | 023/200 | loss: 0.3601/0.4970 | acc: 0.8544/0.8028 | lr: 0.00100000 
Fold 4 | 024/200 | loss: 0.3482/0.5059 | acc: 0.8649/0.7958 | lr: 0.00100000 
Fold 4 | 025/200 | loss: 0.3621/0.4989 | acc: 0.8649/0.8028 | lr: 0.00100000 
Fold 4 | 026/200 | loss: 0.3577/0.5013 | acc: 0.8561/0.7958 | lr: 0.00100000 
Fold 4 | Early stopping on epoch 26
Fold 4 | 011/200 | loss: 0.3939/0.4750 | acc: 0.8614/0.7958 | lr: 0.00100000
Fold 4 | Best epoch: 11 | Best validation loss: 0.4750
Fold 4 | Accuracy: 0.7958 | Best epoch: 11 | Best loss: 0.4750
PyTorch training plots saved: outputs\torch_plots\309_dnn_64_32_16_lr_0_001.png

